COUNTYNAME,HOUSE,POP,SEX
新北市,1620714,4011586,95.43
臺北市,1054530,2531659,90.87
桃園市,861456,2272452,98.09
臺中市,1016583,2814422,96.42
臺南市,709861,1863435,99.19
高雄市,1128637,2746939,97.19
宜蘭縣,174166,450944,101.47
新竹縣,210470,575131,104.26
苗栗縣,195296,538568,106.37
彰化縣,399061,1256062,103.26
南投縣,179872,485479,104.43
雲林縣,244787,670664,107.01
嘉義縣,185097,493855,107.76
屏東縣,293289,805177,103.76
臺東縣,84069,213534,105.42
花蓮縣,127977,321697,102.19
澎湖縣,42406,106310,106.12
基隆市,156117,364350,99.45
新竹市,173970,452665,97.6
嘉義市,101818,264954,93.43
金門縣,42572,141327,99.33
連江縣,3512,13577,137.73
