pead_id,mountain,X,Y,Z
1,玉山,244806.455,2596535.633,3952.382
2,玉山東峰,245664,2596621,3869 公尺
3,玉山北峰,245052,2598468,3858 公尺
4,玉山南峰,244960,2593942,3844 公尺
5,雪山,272679.921,2697710.422,3885.789
6,秀姑巒山,255535,2599503,3800 公尺
7,馬博拉斯山,256037,2602111,3765 公尺
8,南湖大山,293746.759,2695369.487,3741.595
9,大水窟山,253116,2596962,3630 公尺
10,東小南山,245432.526,2593106.328,3711.189
11,中央尖山,291414.575,2689649.624,3704.952
12,雪山北峰,273550.506,2701181.012,3703.38
13,關山,240136.261,2569748.334,3668.036
14,南湖大山東峰,294892,2695826,3632 公尺
15,奇萊主山北峰,283176.681,2668375.391,3606.972
16,向陽山,248396.038,2575969.615,3603.083
17,大劍山,269515.484,2693002.903,3593.788
18,馬利加南山,261136,2602253,3546 公尺
19,雲峰,246692.409,2583661.78,3563.757
20,奇萊主山,282035.771,2664790.863,3560.282
21,南湖北山,293517.154,2697790.284,3536.002
22,品田山,276227,2702680,3524 公尺
23,大雪山,261468.676,2691864.928,3529.657
24,玉山西峰,242450,2596805,3490 公尺
25,南湖大山南峰,293267,2693815,3475 公尺
26,頭鷹山,263448.444,2695062.723,3509.586
27,大霸尖山,275330.034,2705948.74,3491.514
28,三叉山,252103.809,2577397.536,3496.137
29,東郡大山,258566.571,2613894.788,3619.416
30,無明山,288230.021,2683561.84,3450.657
31,巴巴山,293597.377,2693220.936,3449.428
32,小霸尖山,274724,2705707,3418 公尺
33,馬西山,266940.758,2598068.773,3443.143
34,北合歡山,277780.05,2675358.298,3422.246
35,合歡山東峰,277734,2670283,3421 公尺
36,合歡山,276729.652,2671051.897,3417.404
37,八通關山,250150.832,2598771.277,3334.921
38,南玉山,241497.966,2592026.986,3382.801
39,畢祿山,284433.635,2678926.496,3371.348
40,東巒大山,257492,2616323,3468 公尺
41,奇萊主山南峰,277626.055,2662037.126,3358.024
42,能高山南峰,277471.472,2651422.181,3349.436
43,卓社大山,260970.104,2636913.081,3368.814
44,白姑大山,260239.647,2677680.277,3341.508
45,新康山,262199,2579533,3331 公尺
46,南雙頭山,250248,2583279.3,3356 公尺
47,志佳陽大山,274670.165,2694876.154,3288.448
48,桃山,280087.539,2703176.075,3324.994
49,佳陽山,268252.614,2689201.363,3314.147
50,火石山,266928.606,2697538.16,3309.562
51,池有山,278388.664,2703004.217,3302.648
52,伊澤山,273864.976,2707302.432,3297.327
53,卑南主山,236280.233,2550161.55,3294.585
54,郡大山,245330,2608425,3250 公尺
55,干卓萬山,263325.678,2641508.356,3283.771
56,太魯閣大山,291976.085,2664050.768,3282.911
57,轆轆山,248974.842,2587826.441,3279.464
58,能高山,275651.408,2654404.485,3262.229
59,萬東山西峰,268068.082,2638836.798,3257.987
60,屏風山,284021.668,2671803.656,3249.776
61,小關山,236486.07,2561287.199,3248.737
62,丹大山,270964,2610994,3340 公尺
63,鈴鳴山,284880.677,2682338.854,3272.343
64,牧山,265488.856,2640054.356,3240.907
65,前山,240760.242,2597157.926,3238.801
66,石門山,278091.433,2672140.277,3237.336
67,劍山,266448,2687974,3253 公尺
68,無雙山,255020,2609930,3231 公尺
69,尖山,250507,2592401,3190 公尺
70,喀西帕南山,269114,2596397,3276 公尺
71,塔關山,243258.943,2572391.224,3221.899
72,馬比杉山,298446.903,2693892.105,3210.979
73,內嶺爾山,269182,2608649,3270 公尺
74,雪山東峰,276768.675,2698303.296,3200.942
75,南華山,278252.234,2659615.052,3183.921
76,義西請馬至山,264814,2609440,3245 公尺
77,關山嶺,245023.229,2574497.875,3175.6
78,海諾南山,240093.584,2565043.467,3174.555
79,中雪山,257092.222,2692495.892,3172.761
80,閂山,280634.379,2683915.649,3168.267
81,駒盆山 （盆駒山）,252492,2605216,3109 公尺
82,甘藷峰,288742.789,2687445.235,3157.64
83,西合歡山,274015.331,2674920.786,3144.632
84,審馬陣山,291517.645,2697400.864,3141.293
85,喀拉業山,281745.052,2705100.242,3132.994
86,庫哈諾辛山,238944.079,2573590.432,3114.832
87,加利山,271088.612,2706136.159,3112.229
88,白石山,277148.277,2645016.739,3109.663
89,六順山,273595,2624740,2999 公尺
90,磐石山,288645.498,2666882.052,3105.694
91,帕托魯山,296607.871,2666320.758,3101.284
92,大武山,224645.875,2503213.855,3091.968
93,立霧主山,294474.272,2669135.025,3069.541
94,安東軍山,276273.117,2641157.719,3068.04
95,光頭山,276853.401,2648388.998,3060.015
96,鹿山,247994,2594392,2981 公尺
97,巒大山,243783,2621344,3081 公尺
98,塔芬山,251909.406,2589451.854,3069.879
99,布拉克桑山,257225,2570274,3020 公尺
100,羊頭山,287746.925,2678346.457,3034.578
