"RentStation","ReturnStation","Riderships","Date"
1,1,72,2019-11-11
1,1,54,2019-11-15
1,1,22,2019-11-13
1,2,26,2019-11-11
1,2,22,2019-11-15
1,2,8,2019-11-13
1,3,12,2019-11-11
1,3,12,2019-11-15
1,3,9,2019-11-13
1,4,8,2019-11-11
1,4,6,2019-11-15
1,4,5,2019-11-13
1,5,168,2019-11-11
1,5,176,2019-11-15
1,5,74,2019-11-13
1,6,138,2019-11-11
1,6,158,2019-11-15
1,6,60,2019-11-13
1,7,70,2019-11-11
1,7,66,2019-11-15
1,7,28,2019-11-13
1,8,14,2019-11-11
1,8,8,2019-11-15
1,8,3,2019-11-13
1,9,14,2019-11-11
1,9,6,2019-11-15
1,9,11,2019-11-13
1,10,76,2019-11-11
1,10,62,2019-11-15
1,10,34,2019-11-13
1,11,14,2019-11-11
1,11,18,2019-11-15
1,11,7,2019-11-13
1,12,26,2019-11-11
1,12,14,2019-11-15
1,12,6,2019-11-13
1,13,18,2019-11-11
1,13,4,2019-11-15
1,13,5,2019-11-13
1,14,2,2019-11-11
1,14,1,2019-11-13
1,15,40,2019-11-11
1,15,20,2019-11-15
1,15,9,2019-11-13
1,16,16,2019-11-11
1,16,4,2019-11-15
1,16,4,2019-11-13
1,17,2,2019-11-11
1,17,1,2019-11-13
1,18,14,2019-11-11
1,18,18,2019-11-15
1,18,3,2019-11-13
1,19,66,2019-11-11
1,19,38,2019-11-15
1,19,22,2019-11-13
1,20,2,2019-11-11
1,20,2,2019-11-13
1,21,1,2019-11-13
1,22,42,2019-11-11
1,22,30,2019-11-15
1,22,10,2019-11-13
1,23,2,2019-11-11
1,25,126,2019-11-11
1,25,94,2019-11-15
1,25,51,2019-11-13
1,26,14,2019-11-11
1,26,4,2019-11-15
1,26,3,2019-11-13
1,27,2,2019-11-15
1,28,14,2019-11-11
1,28,8,2019-11-15
1,28,8,2019-11-13
1,30,4,2019-11-11
1,32,4,2019-11-11
1,32,4,2019-11-15
1,32,5,2019-11-13
1,33,20,2019-11-11
1,33,10,2019-11-15
1,33,8,2019-11-13
1,34,2,2019-11-11
1,36,2,2019-11-11
1,37,2,2019-11-15
1,37,1,2019-11-13
1,39,4,2019-11-11
1,40,8,2019-11-11
1,40,4,2019-11-15
1,40,3,2019-11-13
1,41,2,2019-11-15
1,42,12,2019-11-11
1,42,6,2019-11-15
1,42,4,2019-11-13
1,44,4,2019-11-11
1,45,3,2019-11-13
1,48,2,2019-11-11
1,48,2,2019-11-15
1,49,2,2019-11-11
1,49,6,2019-11-15
1,49,1,2019-11-13
1,55,2,2019-11-11
1,55,2,2019-11-13
1,61,2,2019-11-11
1,61,1,2019-11-13
1,63,4,2019-11-11
1,63,6,2019-11-15
1,65,2,2019-11-11
1,65,4,2019-11-15
1,65,1,2019-11-13
1,68,4,2019-11-11
1,68,4,2019-11-15
1,70,30,2019-11-11
1,70,44,2019-11-15
